timestamp_ms,ref_v,u_v,sensor_v_avg,error,p_term,i_term,d_term,sat
4023500,1.7000,0.8345,0.8655,0.83451,0.83451,0.00000,0.00000,0
4024000,1.7000,0.8337,0.8663,0.83370,0.83370,0.00000,0.00000,0
4024500,1.7000,0.8329,0.8671,0.83289,0.83289,0.00000,0.00000,0
4025000,1.7000,0.8345,0.8655,0.83451,0.83451,0.00000,0.00000,0
4025500,1.7000,0.8353,0.8647,0.83531,0.83531,0.00000,0.00000,0
4026000,1.7000,0.8369,0.8631,0.83692,0.83692,0.00000,0.00000,0
4026500,1.7000,0.8369,0.8631,0.83692,0.83692,0.00000,0.00000,0
4027000,1.7000,0.8353,0.8647,0.83531,0.83531,0.00000,0.00000,0
4027500,1.7000,0.8353,0.8647,0.83531,0.83531,0.00000,0.00000,0
4028000,1.7000,0.8345,0.8655,0.83451,0.83451,0.00000,0.00000,0
4028500,1.7000,0.8385,0.8615,0.83853,0.83853,0.00000,0.00000,0
4029000,1.7000,0.8418,0.8582,0.84176,0.84176,0.00000,0.00000,0
4029500,1.7000,0.8418,0.8582,0.84176,0.84176,0.00000,0.00000,0
4030000,1.7000,0.8418,0.8582,0.84176,0.84176,0.00000,0.00000,0
4030500,1.7000,0.8426,0.8574,0.84256,0.84256,0.00000,0.00000,0
4031000,1.7000,0.8418,0.8582,0.84176,0.84176,0.00000,0.00000,0
4031500,1.7000,0.8401,0.8599,0.84015,0.84015,0.00000,0.00000,0
4032000,1.7000,0.8410,0.8590,0.84095,0.84095,0.00000,0.00000,0
4032500,1.7000,0.8410,0.8590,0.84095,0.84095,0.00000,0.00000,0
4033000,1.7000,0.8410,0.8590,0.84095,0.84095,0.00000,0.00000,0
4033500,1.7000,0.8385,0.8615,0.83853,0.83853,0.00000,0.00000,0
4034000,1.7000,0.8353,0.8647,0.83531,0.83531,0.00000,0.00000,0
4034500,1.7000,0.8337,0.8663,0.83370,0.83370,0.00000,0.00000,0
4035000,1.7000,0.8345,0.8655,0.83451,0.83451,0.00000,0.00000,0
4035500,1.7000,0.8337,0.8663,0.83370,0.83370,0.00000,0.00000,0
4036000,1.7000,0.8345,0.8655,0.83451,0.83451,0.00000,0.00000,0
4036500,1.7000,0.8361,0.8639,0.83612,0.83612,0.00000,0.00000,0
4037000,1.7000,0.8361,0.8639,0.83612,0.83612,0.00000,0.00000,0
4037500,1.7000,0.8377,0.8623,0.83773,0.83773,0.00000,0.00000,0
4038000,1.7000,0.8369,0.8631,0.83692,0.83692,0.00000,0.00000,0
4038500,1.7000,0.8369,0.8631,0.83692,0.83692,0.00000,0.00000,0
4039000,1.7000,0.8385,0.8615,0.83853,0.83853,0.00000,0.00000,0
4039500,1.7000,0.8401,0.8599,0.84015,0.84015,0.00000,0.00000,0
4040000,1.7000,0.8410,0.8590,0.84095,0.84095,0.00000,0.00000,0
4040500,1.7000,0.8418,0.8582,0.84176,0.84176,0.00000,0.00000,0
4041000,1.7000,0.8426,0.8574,0.84256,0.84256,0.00000,0.00000,0
4041500,1.7000,0.8426,0.8574,0.84256,0.84256,0.00000,0.00000,0
4042000,1.7000,0.8426,0.8574,0.84256,0.84256,0.00000,0.00000,0
4042500,1.7000,0.8426,0.8574,0.84256,0.84256,0.00000,0.00000,0
4043000,1.7000,0.8450,0.8550,0.84498,0.84498,0.00000,0.00000,0
4043500,1.7000,0.8458,0.8542,0.84579,0.84579,0.00000,0.00000,0
4044000,1.7000,0.8450,0.8550,0.84498,0.84498,0.00000,0.00000,0
4044500,1.7000,0.8458,0.8542,0.84579,0.84579,0.00000,0.00000,0
4045000,1.7000,0.8458,0.8542,0.84579,0.84579,0.00000,0.00000,0
4045500,1.7000,0.8458,0.8542,0.84579,0.84579,0.00000,0.00000,0
4046000,1.7000,0.8442,0.8558,0.84418,0.84418,0.00000,0.00000,0
4046500,1.7000,0.8450,0.8550,0.84498,0.84498,0.00000,0.00000,0
4047000,1.7000,0.8458,0.8542,0.84579,0.84579,0.00000,0.00000,0
4047500,1.7000,0.8450,0.8550,0.84498,0.84498,0.00000,0.00000,0
4048000,1.7000,0.8426,0.8574,0.84256,0.84256,0.00000,0.00000,0
4048500,1.7000,0.8426,0.8574,0.84256,0.84256,0.00000,0.00000,0
4049000,1.7000,0.8418,0.8582,0.84176,0.84176,0.00000,0.00000,0
4049500,1.7000,0.8418,0.8582,0.84176,0.84176,0.00000,0.00000,0
4050000,1.7000,0.8410,0.8590,0.84095,0.84095,0.00000,0.00000,0
4050500,1.7000,0.8401,0.8599,0.84015,0.84015,0.00000,0.00000,0
4051000,1.7000,0.8410,0.8590,0.84095,0.84095,0.00000,0.00000,0
4051500,1.7000,0.8410,0.8590,0.84095,0.84095,0.00000,0.00000,0
4052000,1.7000,0.8393,0.8607,0.83934,0.83934,0.00000,0.00000,0
4052500,1.7000,0.8385,0.8615,0.83853,0.83853,0.00000,0.00000,0
4053000,1.7000,0.8385,0.8615,0.83853,0.83853,0.00000,0.00000,0
4053500,1.7000,0.8385,0.8615,0.83853,0.83853,0.00000,0.00000,0
4054000,1.7000,0.8385,0.8615,0.83853,0.83853,0.00000,0.00000,0
4054500,1.7000,0.8377,0.8623,0.83773,0.83773,0.00000,0.00000,0
4055000,1.7000,0.8385,0.8615,0.83853,0.83853,0.00000,0.00000,0
4055500,1.7000,0.8369,0.8631,0.83692,0.83692,0.00000,0.00000,0
4056000,1.7000,0.8369,0.8631,0.83692,0.83692,0.00000,0.00000,0
4056500,1.7000,0.8369,0.8631,0.83692,0.83692,0.00000,0.00000,0
4057000,1.7000,0.8385,0.8615,0.83853,0.83853,0.00000,0.00000,0
4057500,1.7000,0.8393,0.8607,0.83934,0.83934,0.00000,0.00000,0
4058000,1.7000,0.8393,0.8607,0.83934,0.83934,0.00000,0.00000,0
4058500,1.7000,0.8393,0.8607,0.83934,0.83934,0.00000,0.00000,0
4059000,1.7000,0.8401,0.8599,0.84015,0.84015,0.00000,0.00000,0
4059500,1.7000,0.8401,0.8599,0.84015,0.84015,0.00000,0.00000,0
4060000,1.7000,0.8401,0.8599,0.84015,0.84015,0.00000,0.00000,0
4060500,1.7000,0.8434,0.8566,0.84337,0.84337,0.00000,0.00000,0
4061000,1.7000,0.8442,0.8558,0.84418,0.84418,0.00000,0.00000,0
4061500,1.7000,0.8426,0.8574,0.84256,0.84256,0.00000,0.00000,0
4062000,1.7000,0.8401,0.8599,0.84015,0.84015,0.00000,0.00000,0
4062500,1.7000,0.8410,0.8590,0.84095,0.84095,0.00000,0.00000,0
4063000,1.7000,0.8410,0.8590,0.84095,0.84095,0.00000,0.00000,0
4063500,1.7000,0.8418,0.8582,0.84176,0.84176,0.00000,0.00000,0
4064000,1.7000,0.8393,0.8607,0.83934,0.83934,0.00000,0.00000,0
4064500,1.7000,0.8401,0.8599,0.84015,0.84015,0.00000,0.00000,0
4065000,1.7000,0.8393,0.8607,0.83934,0.83934,0.00000,0.00000,0
4065500,1.7000,0.8377,0.8623,0.83773,0.83773,0.00000,0.00000,0
4066000,1.7000,0.8369,0.8631,0.83692,0.83692,0.00000,0.00000,0
4066500,1.7000,0.8377,0.8623,0.83773,0.83773,0.00000,0.00000,0
4067000,1.7000,0.8385,0.8615,0.83853,0.83853,0.00000,0.00000,0
4067500,1.7000,0.8393,0.8607,0.83934,0.83934,0.00000,0.00000,0
4068000,1.7000,0.8385,0.8615,0.83853,0.83853,0.00000,0.00000,0
4068500,1.7000,0.8369,0.8631,0.83692,0.83692,0.00000,0.00000,0
4069000,1.7000,0.8369,0.8631,0.83692,0.83692,0.00000,0.00000,0
4069500,1.7000,0.8353,0.8647,0.83531,0.83531,0.00000,0.00000,0
4070000,1.7000,0.8345,0.8655,0.83451,0.83451,0.00000,0.00000,0
4070500,1.7000,0.8337,0.8663,0.83370,0.83370,0.00000,0.00000,0
4071000,1.7000,0.8337,0.8663,0.83370,0.83370,0.00000,0.00000,0
4071500,1.7000,0.8329,0.8671,0.83289,0.83289,0.00000,0.00000,0
4072000,1.7000,0.8321,0.8679,0.83209,0.83209,0.00000,0.00000,0
4072500,1.7000,0.8289,0.8711,0.82886,0.82886,0.00000,0.00000,0
4073000,1.7000,0.8297,0.8703,0.82967,0.82967,0.00000,0.00000,0
4073500,1.7000,0.8305,0.8695,0.83048,0.83048,0.00000,0.00000,0
4074000,1.7000,0.8329,0.8671,0.83289,0.83289,0.00000,0.00000,0
